|input
15024|He did n't work for sony , he was just approved to fix their crappy products .
15028|( You may be reading one now !
15032|The latest is on my LG Netbook X12
15036|You will not regret buying such a great thing like this !
15040|I can do everything I could before , only faster and more efficiently .
15044|I swear they design these things to go to crap after a year so you are stuck and have to buy a new one .
15048|I brought this laptop last friday , and originally it worked fantastic .
15052|If it 's not shipped on the next business day , called on a Friday they are closed on weekends , what was the next step .
15056|I 'm hoping that I can find a really quick way to clean it without it getting too gross .
15060|Just a bunch of idiots who 's English as a 5th language is forced at best .
15064|If this would be your first Mac purchase then I would highly suggest that you take advantage of the class that they offer to learn about the differences between Mac and PC 's .
15068|Im very happy with this computer !
15072|My first laptop was an Acer that I got for Christmas .
15076|I should have been more observant .
15080|So this review might be a tad bit bias .
15084|it was a tough choice .
15088|Maybe it 's Acer , maybe it 's MSFT .
15092|But in fact it is totally the opposite .
15096|I am taking back today .
15100|i cant believe HP put this out .
15104|Most of my papers could not be saved and when they could be , half the time , the papers were then erased .
15108|THis computer may be small but it is one heck of a power horse .
15112|It was returned on the third day I owned it .
15116|Still , this laptop is perfect for all day use at school and work .
15120|It 's also very energy efficient , running on a quarter of the power it takes to run a 60 Watt lightbulb .
15124|Love it so far .
15128|I am very happy with this laptop .
15132|Some days it 's just blurry , some days it appears that it 's raining on my nice desktop background of a lake and mountains .
15136|What 's also interesting is this survey changed my ratings the first time I submitted it in case it does n't keep what I put here are my aratings
15140|It 's the inside that is truly wonderful .
15144|I 've had this laptop for about a month now .
15148|return it .
15152|And Toshiba is totally unconcerned .
15156|It has spent more time in repair shops than i can possibly recount here .
15160|At first it 's like you 're in that honeymoon stage with your laptop .
15164|Although I opted for the lowest end MacBook Pro , this thing holds its own .
15168|This is my second MacBook .
15172|I called back to ensure that received it , they had .
15176|Apparently they are defective since they are not securely attached .
15180|My kids have to take their PCs in once a year to have them `` de-bugged '' .
15184|Seriously considering a larger laptop to replace the Dell
15188|I have used a couple of others on the job as well .
15192|The Macbook is a fantastic laptop .
15196|We now own two of these , identical .
15200|You just lose a customer .
15204|Well , I had completed the presentation in powerpoint the night before on my PC , but took the Apple to the conference .
15208|was a great deal i will give that .
15212|and it has blue screen crashed on me twice .
15216|You better believe my next computer will be a MAC !
15220|Best Buy was great as always and accepted the return and gave me another model 1764 .
15224|One , owning a mac is essentially a full production studio ( in the case of a mac book a portable version ) .
15228|The laptop is gorgeous .
15232|It seems to be incompatible with everything else .
15236|I purchased this laptop 9 months ago !
15240|It still serves me well both in business and home needs .
15244|I can throw anything at it ( and I do ) , Pictures , video editing , schoolwork .
15248|My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind , and kyle the oldest child is 12 and really need something to help him in school .
15252|So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand .
15256|First of all , I 've been Dell fan for more than fifteen years .
15260|I am definitely sold , and not going back to PCs for home use !
15264|Now I could get myself a cheap computer , that will probably work a whole lot better !
15268|I am able to play 720p and 1080p media files just fine with it .
15272|It ca n't get any better .
15276|I went right out and purchased another laptop .
15280|I was very excited because this was my first personal computer and I was purchasing it with my OWN money I had recieved from graduation presents .
15284|I bought my first MacBook after seeing the product demonstrated .
15288|I do everything on this computer - check email , facebook , shop , check blogs , write papers , listen to music , and we even watch all of our movies on it since we do not have a tv .
15292|it 's just a great toy to have around .
15296|-Apparently , contactus @ euro.apple.com is not a good address to send complaints .
15300|Page just disapeared after you got yahoo or downloaded something .
15304|2 ) Blue screen first month
15308|The perfect notebook ...
15312|Winters is on it 's way and I imagine it will be cozy .
15316|Dell sucks
15320|I am totally satisfied with my little toshie !
15324|Kind of annoying , but I still love the laptop .
15328|It has worked fine .
15332|Could n't keep a page up you were working on !
15336|this is one of the reasons I purchased it .
15340|So far , a great product .
15344|After doing CAD work all day at work , using a higher end PC , I could n't come home and settle for the use of a lower end computer .
15348|It 's A MAC ! !
15352|So far so good with this laptop .
15356|After looking at all the pros and cons , I decided on the Macbook Pro .
15360|The Macbooks worth every penny .
15364|That seemed to solve the problem , till I wrote an article with semicolons in it .
15368|I am however pleased that it is still hanging in there .
15372|They 're easy , fun , powerful and will last a long time .
15376|Maybe three or four months ago it started blinking all of the sudden .
15380|One of the smartest thing I did was take my time to compare laptops before making my purchase .
15384|We decided we would try to trade-in our old ones .
15388|1st hand experience is very important , especially for a new customer .
15392|That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought .
15396|Pretty disappointed about this product .
15400|I ca n't honestly say I was heartbroken .
15404|Took a while to clean it up to my specs .
15408|Hewlett Packard HP Pavillion DV6000 Laptop is the worst laptop we have ever bought .
15412|Acer wo n't replace the laptop .
15416|I took it home and within 30 min , it was freezing up and did the `` blue screen of death '' .
15420|I 'm pleased .
15424|Within 3 weeks the same issues started happening AGAIN .
15428|But I do n't see it as a problem .
15432|and if u did .
15436|I HATE this one .
15440|I have owned many computers and laptops .
15444|This is my second laptop , and it is head and shoulders above my first .
15448|About 1/2 of the sites I need to visit because of my work contain some type of Flash .
15452|There are so many things wrong with this product , it just makes me want to set my self on fire !
15456|*4 weeks after giving the computer for repair*-Annoyed at MacHouse Amsterdam , decided to send complaint email to Apple .
15460|The apple macbook pro nothing to say butprofessionally great and outstanding .
15464|I love this computer .
15468|The local computer repair shops send out ads that say along the lines of we can fix almost any problem or computer usually even the trouble some Toshiba satellite .
15472|It is easy to find documents , and keep them in one area .
15476|the last time we took it to get fixed the guy said that most likely it is a reppative problem and will keep happeneing so hopefully we can get a new one very soon !
15480|Every single one we 've gotten we 've had problems with .
15484|That being said after 2 weeks of owning every time I start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable .
15488|Now that I have it I see that I really needed this for much more .
15492|Save your money and go for a better device .
15496|My favorite by far , although the most expensive , was my Sony .
15500|She said Wal Mart rants and raves abouy carring Dell because it 's a big name but they are a piece of garbage .
15504|I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem .
15508|I do not plan on going back .
15512|I got the black MacBook two years ago and have never regretted it .
15516|Will probably never buy a HP again .
15520|Satisfy what I paid for it .
15524|THIS is what a laptop is supposed to be .
15528|Back then my entire family was Devoted to the Sony name .
15532|It is truly a Desktop Replacement .
15536|I 'm extremely happy with my purchase as I now have the portable power I have been looking for .
15540|I honestly love my mac , thats why I am a self proclaimed mac addict .
15544|The acer one compuer is a great computer .
15548|But the Macbook is the best !
15552|it cant fuction well with lots of webpages open at once .
15556|Do your research on this issue .
15560|This system is not worth the money or trouble trying to get it fix .
15564|Do n't waste their money , save it and but a mac .
15568|The benefits were immediate !
15572|The only time I have restarted is during system updates .
15576|What a waste of time it was to run a Defrag on the PC !
15580|They were totally unconcerned that the computer was not correctly repaired in the first place .
15584|I was so happy with my new Mac .
15588|I 've had hp desktop for over 4 yrs now and not one days goes by that i do n't regret buying it .
15592|I am very happy I bought this Mac , well worth the extra money .
15596|I fell in love with the hp pavillion and that was my replacement and now I could not imagine going back to an acer at all .
15600|This laptop serves all my needs .
15604|Ok first .
15608|Having someone give you a quick tour of how to 's is the best .
15612|Have returned that laptop unused .
15616|They were able to set-up with labtops themselves within a few minutes .
15620|There is a little indent to help open it - but good luck with that .
15624|There are differences that you need to know and take time to learn .
15628|What can I say .
15632|Better stick with another brand .
15636|After 4 days , being denied 6 times and told off once , I managed to get through and was able to send them a scanned copy of the receipt .
15640|And I 'm still paying the bloody financing , for a product which did n't last me at least three years !
15644|I would not recommend this product to anyone .
15648|I can see why the have soooo much money .
15652|I bought it for really cheap also and it 's AMAZING .
15656|I think I might rather suffer for something that is simple to fix in my opinion .
15660|It can not save the correct date and time I set .
15664|I was psyched .
15668|*IF YOU ARE LOOKING FOR A GOOD LAPTOP , THIS IS NOT IT !
15672|So do n't get it .
15676|I returned the 2nd laptop for a full refund .
15680|I had a toshiba for 10 years .
15684|I am stuck with a laptop that I can not do very much with .
15688|Well i got this computer from Best Buy and I have had nothing but problems I bought the computer with a virus ... ..
15692|Love it .
15696|So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it ...
15700|They transfer you around to other people who do not understand what you are saying and you ca n't understand what they are saying .
15704|It has happened again and I 'm being told that it 's $ 175 .
15708|I am not happy at all with the product I purchased .
15712|I would definitely not go back to using a PC after using the mac .
15716|Then they had me jump through many hoops and questions to see if they could find another way to invalidate me .
15720|Which is what I did , check out my ACER 5517 !
15724|Obviously , this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way .
15728|There are a few flaws as well that I noticed .
15732|I own other Macs but always find myself navigation to the MacBook Pro to get my work done .
15736|It all just makes sense .
15740|One of the primary reasons why I purchased an IPad was to store photographs so that I could show to my customers .
15744|I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me .
15748|HP did n't fix it .
15752|i had the bulk of problems with my lap top within the first six months .
15756|I can guarantee this will be the last Dell I will ever purchase !
15760|Good bye BLUE SCREEN and Critical errors ! ! ! !
15764|Simply amazing computer ! !
15768|Another two weeks later and it was back in my possession .
15772|And i would recommend this to anypne looking for a new laptop .
15776|I 'm all for saving money but Dell needs to step it up .
15780|they will not let you down .
15784|Have purchased many products over the years from MacConnection and this transaction , like all the others , we smoothly with no problems .
15788|I 've owned every `` Pro '' model Apple laptop for the last 8 years , this is BY FAR the WORST one I 've ever had .
15792|VERY disappointing :
15796|The Awesomest of the awesomest .
15800|( I definatly ca n't ) .
15804|I am very pleased with my purchase !
15808|We purchased this as a back up computer after our more expensive HP needed to be repaired .
15812|Unfortunately , that is not the case .
15816|Finally was able to reach a young lady in California and ordered the machine and was subsequently given a delivery date .
15820|Well , maybe I was just very unlucky .
15824|I have used PC 's and converting to this MacBook Pro was easy .
15828|I Have a friend who has the other model and we put them side by side with the same dvd in ( battle of the Smithsonian ) After on Hour mine was at 53 % life left and his was at 69 % life left .
15832|taking it back less than 24 hours of purchase
15836|So , if you 're thinking of a laptop , I would heartily recommend theApple 13.3 MacBook Pro Notebook Computer ( Z0J80001 ) Notebook for all your needs !
15840|When I got this laptop in 2007 to help me with school , I had a hard time from beginning .
15844|I had to call Apple 19 times ( each time 40 to 75 minutes on the phone ) , and take it to their store for evaluations , and diagnostics , 5 times .
15848|If you have any creativity in you do yourself a favor and get a mac !
15852|They told me it was my loss even though it was the computer , not what I 've done .
15856|Most of the large bags are for a 17 inch .
15860|It does run a little warm but that is a negligible concern .
15864|C'mon , LG .
15868|i setup my password last night with the password on my other computer .
15872|-They say it will take `` up to two weeks '' .
15876|I bought this laptop so that the entire family had a computer in the living room ;
15880|They are wonderful , but very dangerous when it comes to emitting heat .
15884|Then 2 of my nephews were going into music and both fell in love with the MacBook Pro .
15888|It was n't worth it .
15892|It is SO much fun to play with .
15896|It was about six months later when the overheating problem started again , to the point it felt like fire on the bottom of the machine !
15900|the apple pro notebook will not let you down .
15904|I 'm going back to DELL .
15908|I 'm Very disappointed in Dell .
15912|I also experience the same with my MacBook Air .
15916|I was constantly having to roll back the computer after doing updates .
15920|it is the worst computer dell ever made .
15924|I will not buy another one .
15928|My last laptop gave me a constant battle even though it was also completely new .
15932|A tip for people looking into this computer : DO NOT BUY IT save up a bit more money and buy a computer that will last .
15936|The Mac Book Pro performs flawlessly .
15940|I spoke to 4 different people and was told they needed to transfer me to a 5th person !
15944|The computer is so slow , even after paying staples the extra money to speed it up .
15948|Where you click and hold and drag it picture , link , etc to where you want it .
15952|I have had laptops in the past and I thought why not give these small netbooks a try .
15956|Its still going .
15960|My MacBook is probably the best investment I have ever made .
15964|It was okay for over a week before the blue screens started occuring again .
15968|Had to have this computer repaired twice in the first 5 months after purchasing it .
15972|I was given a Mac as a birthday present and could n't be happier with it 3 years later .
15976|At 16 months it started shutting off after only 5 or 10 minutes .
15980|Yet , HP wo n't do anything about the problem .
15984|I 'm glad it waited , this one is great .
15988|-Estimated time to fix it : 10 working days or less .
15992|I 'm new - just switched from years of PC frustration .
15996|Also I typed faster then then letters would show and it got to be realy annoying .
16000|The latest and mightiest Macbook pro 17-inch was bought by my university on the 30th of June 2009 .
16004|I decided to get this pile of crap on a whim and totally freaking regret it .
16008|My laptop worked again for just a while before I started having issues AGAIN .
16012|Now , I guess , I 'll have to unload my M6809 on some poor , hapless soul .
16016|With all the goodies inside this machine , it is a value .
16020|I LOVE IT !
16024|Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air ? to Louisville Ky .
16028|I baby my electronics so I know for a fact it was defective and not anything that I did to it .
16032|It allows you to automatically upload photos to your Facebook account with one click .
16036|This is the first Apple product that I have purchased .
16040|I believe this is because I was more active than the average user , meaning I average about three `` tabs '' .
16044|It would n't fit in most 17-inch bags .
16048|But , I would recommend this product .
16052|It 's face and depanable .
16056|Took that one home , same thing .
16060|It is small enough to fit in one of my purses !
16064|I would never buy a Dell again .
16068|I am just amazed .
16072|When the computer has been on for several minutes , it will occasionaly just go off by itself .
16076|Bought for my daughter to take for starting college this fall - she has been on it non-stop ever since `` learning how to use it '' .
16080|I did n't like one thing about it .
16084|Overall for the money this is a good deal .
16088|Two times with in one month .
16092|I investigated netbooks and saw the Toshiba NB305-N410BL .
16096|I love this product because it is Toshiba and its 15.6 '' .
16100|Would buy 100 more of these if I could .
16104|If you are looking for a netbook pc DO NOT BUY FROM ASUS ! ! !
16108|If you could stretch by a few 100 dollars I highly recommend you should replace your Windows laptop with this one .
16112|People know what they are talking about and they have pride in the product that they are selling .
16116|If you are a PC user looking to convert I would HIGHLY recommend it !
16120|I hate to say this , but if I could take this back to the shop and get my money back , then I would .
16124|And , if you are going to deal with HP be careful .
16128|If you can afford a new laptop , and are in the market for one , of course , then definitely go for this .
16132|So I 'm disappointed in that because communicating with my relatives out of the area is a priority .
16136|I work on a PC at home and have used Pc all through college .
16140|But not in this case .
16144|WILL NOT EVERY BUY ANOTHER -- -- -- -- LOU
16148|`` For one , I noticed that from turning on my mac to logging on only took about 25 seconds .
16152|Macs are designed for the `` frontal lobe challenged '' people out there .
16156|I ordered four D620 laptops .
16160|My laptop is almost 2yrs old and I have never had any problems with it .
16164|This mac is great !
16168|Overall though , for the money spent it 's a great deal .
16172|I would like to tell you about the best laptop I just got from Mac .
16176|I love it - never had a computer I was so impressed with - and I 've had a lot of laptops and desktops - this one is FAR AND ABOVE THE BEST ONE I EVER HAD BEFORE .
16180|So far , so good .
16184|I saved for this laptop for 3 months and I can tell you personally it was worth the wait .
16188|I got the blue screen of death the first month I got it .
16192|the whole experiece is horrible so save up and buy a better laptop .
16196|This is my first personal Satellite purchase but had very good experience through previous Satellite work issued laptops .
16200|This a starter notebook .
16204|This is what they told me : It heats up , and that is the reason we no longer call them laptops , and simply categorize them as portables .
16208|I would recomend this acer to parents and grandparents it can really help them in school .
16212|So honestly , I was n't expecting anything less than perfection , and I was n't disappointed .
16216|I took it to the shop and they said It would cost too much to repair it .
16220|However , a NETBOOK will be a different story .
16224|so we got a good deal on hsn for an ascer notebook and we bought it for him .
16228|BAck she goes !
16232|We did n't because it was already over 2,400 dollars !
16236|Best Buy laughed when I told them they should replace it instead of expecting me to be without a computer again for another couple of weeks .
16240|But it may be potentially hundreds or thousands in the near future .
16244|After about another month I had to send it in AGAIN to Acer for repairs .
16248|This is a great machine !
16252|Instead of taking another chance on Toshiba , I went with an Asus G73JH-x3 .
16256|All the yada-yada .
16260|I previously owned an HP desktop and a Dell laptop .
16264|Originally bought it for my wife .
16268|apple is one of the best computer companies in the country .
16272|Do yourself a favor , this is not a fake story trying to hurt alienware ...
16276|Probably wo n't work either .
16280|But reasons we chose this Apple computer .
16284|I can do pretty much 75 % of what I do on my desktop on my kitchen table .
16288|I can not even read what I am writing half of the time .
16292|ASUS has done an outstanding job of evolving their netbooks , and I would recommend this to anyone who both understands their needs and how netbooks can fit them .
16296|I should have kept my big , old HP .
16300|It was over rated !
16304|WOULD PAY MORE FOR IT IF I HAD TOO !
16308|Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis .
16312|Mac computers automatically `` defrag '' each time you start your computer .
16316|The netbook is easier for me to take to bed and carry around with me .
16320|They removed them and returned the computer to me .
16324|I think this will happen to any new version of computer/phone released and I need to wait for the next set of updates to have all of this fixed .
16328|Has met or exceeded my needs for a compact travel device .
16332|2nd Mac book I have purchased from MacConnection .
16336|I was informed that I need to call some 0900 number first .
16340|I really do n't like it , but I am stuck .
16344|You may just lose 1 customer for now .
16348|I especially appreciate the fact that it has almost zero viruses and spyware problems !
16352|Once you go Mac , you ca n't go back !
16356|Which was way too much money .
16360|With a healthy pessimism , I took the machine home and tried to find a flaw .
16364|So if you want a good machine that does almost anything this is the one , if you want a low budget computer then look at the other great brands Best Buy sells .
16368|I am sorry that I purchased this laptop .
16372|Received the product promptly and without any issues .
16376|I started hainv problems with it within the first month .
16380|I use my friends and family 's $ 2000 laptops and they are fast and reliable and HP , well , I 'll never buy or recommend an HP to anyone !
16384|The lesson learned here is : It does not pay to by this loyal to any brand , since all of them are there to simply to make as much money as possible , as fast as they can , and in this day and age , the customer no longer is right all the times .
16388|Being virus-resistant is a huge plus .
16392|If you 're looking for a great laptop , you 've found the best here .
16396|Plus it is small and reasonably light so I can take it with me to and from work .
16400|I only used it to browse the internet and and I dont know how many times it has spontaniously shut down and it is just a blank screen now .
16404|I was very worried about making the two compatible- but literally , it was so simple I was almost worried that I was doing something wrong .
16408|Just a month and a half or two months ago , my VAIO crashed again .
16412|It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow .
16416|Amazing machine .
16420|Never been hacked .
16424|Sure hope Best Buy will replace it asap .
16428|I always swore by PCs and would never consider a MAC .
16432|From the moment I opened the box to the present it has been a great joy .
16436|sounds like a typewriter , but if you can get past that , this is a great laptop for a little money !
16440|this laptop is great for work and doing my pictures .
16444|It is meant to be PORTABLE .
16448|That day !
16452|Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late !
16456|They told me to reprogram the computer , and I did n't need to do that , and I lost pictures of my oldests first 2 years of her life .
16460|The cool thing about the Mac Book was that I went on my honeymoon and shot a bunch of pictures and movies with my iPhone , then I came back and put them onto my Macbook and made a pretty good DVD movie with all the pictures and videos from my trip .
16464|I like it so much , I bought another just for my wife .
16468|They are not .
16472|The laptop was returned but audio issue was not fixed .
16476|I definitely will buy a Mac again if and when this computer ever fails .
16480|I ca n't imagine my life without it anymore !
16484|Will certainly use MacConnection again .
16488|So needless to day , I 'm not happy .
16492|As it turns out , I just did n't know any better .
16496|If anything , I would only suggest using one of these laptops if only you have to .
16500|Again , I sent it off to Acer , by this time they were paying for me to send it to them and everything , but it was still inconvienent because of my classes and my communication with my fiance .
16504|I would definitely recommend checking out this laptop if you are in the market for one .
16508|I also bought one for my wife , and 3 for my office .
16512|They 're absolutely useless , unless you count the joy of releasing anger while smashing into little peices against the wall .
16516|My review mainly talks about the difference I have felt between an early 2011 and late 2011 mac book pro .
16520|After 3 pleasant weeks of use , the laptop just died .
16524|One bad thing is it gets hot .
16528|Exactly that , users .
16532|I 'm pretty sure it 's not newegg 's fault but when you turn on a computer you just bought you want it to at least get to desktop .
16536|They informed me that I had around 7 `` policies '' or viruses on it .
16540|I just love my Mac !
16544|This is my 3rd Apple Laptop and first MacBook Pro .
16548|So I 'd pop them off to see what the problem was , well guess what ? The darn thing would n't go back on .
16552|Not working = bad
16556|If you faintly come close to touching this thing while typing , all craziness may break loose .
16560|If you are looking for something reliable , this is the laptop for you .
16564|I asked how they would determine that since there are no scratches , dents or other signs of damage and was told that was the only way this type of damage could happen .
16568|I did n't want to buy a generic brand computer but it is really nice .
16572|When the buyer returned it Wal Mart just boxed it , taped it shut resold it as new .
16576|But I was wrong .
16580|This Notebook restarts every time there is a new update , so if you do n't save your files and information , everything will be lost .
16584|We are addicted to the Mac .
16588|Purchased as a gift for a friend .
16592|Thinking about returning it
16596|It was a hard decision for me since the MacBook Pro looked so appealing .
16600|I should have bought one a long time ago .
16604|I have a lapdesk which I can use , but I can still feel the heat through the foam and plastic .
16608|I just bought this laptop 3 days ago .
16612|i tried turning it done but it did nothing .
16616|Remember to do your research first before consider buying a toshiba product .
16620|This machine was a horrible experience .
16624|Might not make the avid gamer happy but I do n't really think that is what this computer is designed for .
16628|This was my first MacBook purchase ever .
16632|The book is useless .
16636|Overall this laptop is great .
16640|Either way the entire thing was just a joke , a complete rip off !
16644|dell is a decently made pc .
16648|Before i bought my new i5 , I did my research for about 2 weeks and determined to move for HP to Apple for reliability , dependable , and long lasting operations .
16652|i try to use it today and I ca n't logon .
16656|I looked at the computer and it said updating but the asked for a product key .
16660|DEFINITELY recommended ! ! !
16664|Mom , Dad , Brother , sister , You name it !
16668|I use it now more than I even thought I would .
16672|I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever .
16676|The MacBook is way too overpriced for something so simple and chaotic .
16680|All in all , I 'm incredibly dissatisfied with this laptop , and with HP as a whole .
16684|If you had PC for four years I can almost gaurentee that something would of gone wrong by now , maybe even forcing you to replace your entire computer .
16688|I 'm a professional consultant , and a client needed work on her machine .
16692|Should be there by the end of the week ( again ... ) .
16696|I 've never had problems with viruses .
16700|NO good .
16704|I should have realized that trouble was brewing .
16708|I 've always used PC 's for work home and this is my first experience with a Mac .
16712|I have had it for almost four years now and I have only had a few problems with it .
16716|I bought it during the recent Comex IT show .
16720|Problem fixed which is great but there went another two weeks without my laptop at school .
16724|The 13 '' MacBook Pro is portable , durable , and very capable .
16728|Quite simply this is the best laptop I have ever owned .
16732|This is the first macbook I have ever had .
16736|It is made better , thicker , and all out tough !
16740|It 's not a recommendation , it ' a plea .
16744|Honestly , this is absolutely wonderful .
16748|Do n't waste your money !
16752|That is how it is able to function better than any other PC .
16756|Finally , I purchased a Toshiba .
16760|Consumer Report recommended Toshiba .
16764|Thank God for `` ctrl Z '' Bottom line , I 've been using laptops since the mid 90s and probably the majority of brands out there .
16768|I do n't really have a complaint .
16772|They had me send in the machine last April returned it to me in May with no documentation on what was done it anything .
16776|Recommended to people as their first laptop .
16780|Files as well would become lost , deleted or corrupted .
16784|That is my only complaint !
16788|So this was great for me .
16792|I can not even imaging going back to a PC after using this wonderful computer .
16796|You will fall in love with it in no time .
16800|Very small and portable I 've had this netbook about 12 hrs now and It 's better than expected .
16804|three years is a decent life , but this must make it to graduation and beyond .
16808|What a great little laptop .
16812|I am currently out of town and called to inform them the broken part would be returned when I got back in town .
16816|It has served my needs quite nicely for the most part .
16820|the laptop was really good and it goes really fast just the way i thought it would of run .
16824|I was WRONG !
16828|That 's how frustrating it was .
16832|I went to my local Best Buy looking for a new laptop since mine broke .
16836|If you do n't like fingerprints , this might not be the laptop for you .
16840|I can leave my MacBook uncharged for upwards of eight hours and it wo n't even be dead .
16844|Despite the plethora of problems , I managed to use technological trickery to keep the machine operational for two years .
16848|Excellent product for the money .
16852|it is an amazing image and it too is holding up quite nicely to little hands grabbing the back of my laptop .
16856|The Toshiba laptop was a great purchase .
16860|compresses itself and you ca n't use it .
16864|I took it back to the store and exchanged it for another one .
16868|Two of the times was in one month .
16872|Other than that I do n't have one complaint in the world !
16876|Got this for a graduation gift for my daughter for her to use at college .
16880|I work with kids and they love making short videos on there .
16884|I was not aware that this product can not display websites that contain Flash .
16888|I my wife is also now the proud owner of a Macbook as well !
16892|So , you can imagine how unhappy I am with this item .
16896|I took the computer into Best Buy where I purchased it and they kept it over night to study it .
16900|It is super fast , and always loads .
16904|-Complied to their protocol , called number , made `` case '' , got an email address to send complaint .
16908|What 's really great about this product is you may have a family member who is computer illiterate and you can pretty much just let them loose on this computer without any real supervision .
16912|While there are occasions that my computer will freeze or will need to be manually shut down , this occurs far less frequently than on PC computers and laptops that I 've used .
16916|I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter .
16920|Apparently they 're not special anymore .
16924|Do you ever think HP would do that ? NEVER !
16928|`` I 've had it now about 2 months and absolutely LOVE IT .
16932|It has everything you need to get the job done .
16936|I did a review on it , its awesome .
16940|That 's the downside for me .
16944|It 's not like I have used for half a year and then complained about it .
16948|A couple things you should know :
16952|Dismantle the whole thing ? Then it will not be a newly manufactured set like before .
16956|Sorry Toshiba , but 1st impressions do count for something .
16960|Never any doubt I would get a MacBook , just was n't sure which one .
16964|I have never had to shut down the computer unexpectedly and the computer has never froze on me .
16968|Ok , this is probably the best laptop series ever devised by Apple .
16972|They are asking me to ship the unit back to fix it at their site .
16976|This is my second MACBOOK PRO and it 's better than ever .
16980|I was n't really sure I wanted to spend that kind of money !
16984|Unfortunately , the laptop I purchased was also a Dell and again , I have to say i hated it .
16988|This is basically the best laptop I have ever had or used .
16992|From the start , when you open the box you see a completely different class of machine .
16996|This computer is absolutely AMAZING ! ! !
17000|So I called , AGAIN .
17004|I think just going from PC to Mac has gotten me totally spoiled and I ca n't imagine ever going back .
17008|however , they were kind enough to send a replacement free of charge .
17012|My brother is a computer wiz and would laugh at me because he used an Apple .
17016|No laptop is perfect , but sometimes you just find a computer that works for you .
17020|The advantages of owning ' a 'mac are numerous .
17024|THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT .
17028|99 to fix it .
17032|It lasted for many years of travel , kids and abuse and if I fired it up today , it would work .
17036|I am not one to throw things like this around but it is a laptop so carrying it around does seem to mean it will be jerked possibly a little , while driving a car and carrying it into where ever you are using it .
17040|the place we bought it from said that after they send it out to gateway 4 times they would give us a new one .
17044|She told me flatly , `` It 's like that one .
17048|That 's a huge difference .
17052|I ca n't imagine EVER buying a PC again !
17056|I bought this laptop about a month ago to replace my compaq laptop .
17060|I 'm glad I bought this laptop , it was worth the few ( $ 100 ) extra dollars .
17064|I purchased two laptops ( for my husband and 16 year old daughter ) .
17068|For the use it was purchased for it is a good Laptop .
17072|Sorry , newegg .
17076|first i have been searching for long time before i decided to get mac .
17080|So , buyers beware !
17084|Such as PAGES , NUMBERS , and so on .
17088|I WILL NEVER AGAIN buy another Acer , not will I buy Gateway , or eMachine as they are all from the same company .
17092|Recently there are a few incidents that annoy the hell out of me .
17096|Even set at the highest level , the computer sacrifices its queen every time .
17100|I found this laptop on sale for under 6000 at Best Buy which was a great deal !
17104|I received this laptop as a gift and let me just tell you that its the worst .
17108|It out performs any other laptop on the market today .
17112|returned it .
17116|Its a dog plain and simple .
17120|*3 weeks after giving the computer for repair*-Visited MacHouse Amsterdam .
17124|After the first few months , the computer started crashing about every week .
17128|Worth the investment and truly a fine piece of equipment .
17132|Being a PC user my whole life ... .
17136|In fact , he said , about 10 % of their products fail .
17140|All of them were Windows machines .
17144|UPDATE : Two years after buying this laptop , I am now the proud owner of a lemon .
17148|They would repair one thing , send it back and it would still have the same problem .
17152|I upgraded from a 5 year old laptop and was amazed to find out that this computer is much slower then my old laptop .
17156|In summary , take your money elsewhere .
17160|I believe I purchased this in Dec 09 for my primary work laptop which is used 5-10 hours a day , 4-6 days a week .
17164|I would never tell anyone to buy one either .
17168|Buy this if you like being tortured , teased , frustrated and wasting twice as much time as you spent using your old Mac .
17172|Looking to take my video and photo editing to the next level , I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop .
17176|I lost two items I was working on until I figured out what was happening .
17180|My computer was one of the best in the school compared to my fellow classmates .
17184|This is a great computer .
17188|This laptop is the most amazing little peice of machinery I have owned outside of the Iphone .
17192|I really wish I had done this years ago .
17196|I was starting to boil .
17200|After years of using PCs , a new Mac user is basically forced to re-learn how to use a computer .
17204|During that time , I had to send it back 3 times .
17208|I really wanted a Mac over a pc because I used a Mac in high school .
17212|Here we are another year later and the computer is doing the same thing .
17216|i would really recommend to any person out there to get this laptop cause its really worth it .
17220|I have had several machines over the years , both for personal and business use .
17224|This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials .
17228|Went silently .
17232|That was a big mistake .
